Temporary sample application credentials
Generated with the MEFAMDEV sample app generator pattern.
Each credential is formatted as:
  username: user<ID>
  password: pass<ID>

If you regenerate sample applications in the dashboard, IDs will change.

Sample credentials:
user1700783843000 / pass1700783843000
user1700783843001 / pass1700783843001
user1700783843002 / pass1700783843002
user1700783843003 / pass1700783843003
user1700783843004 / pass1700783843004
user1700783843005 / pass1700783843005
user1700783843006 / pass1700783843006
user1700783843007 / pass1700783843007
user1700783843008 / pass1700783843008
user1700783843009 / pass1700783843009
user1700783843010 / pass1700783843010
user1700783843011 / pass1700783843011
user1700783843012 / pass1700783843012
user1700783843013 / pass1700783843013
user1700783843014 / pass1700783843014
user1700783843015 / pass1700783843015
user1700783843016 / pass1700783843016
user1700783843017 / pass1700783843017
user1700783843018 / pass1700783843018
user1700783843019 / pass1700783843019
user1700783843020 / pass1700783843020
user1700783843021 / pass1700783843021
user1700783843022 / pass1700783843022
user1700783843023 / pass1700783843023
user1700783843024 / pass1700783843024
user1700783843025 / pass1700783843025
user1700783843026 / pass1700783843026
user1700783843027 / pass1700783843027
user1700783843028 / pass1700783843028
user1700783843029 / pass1700783843029
user1700783843030 / pass1700783843030
user1700783843031 / pass1700783843031
user1700783843032 / pass1700783843032
user1700783843033 / pass1700783843033
user1700783843034 / pass1700783843034
user1700783843035 / pass1700783843035
user1700783843036 / pass1700783843036
user1700783843037 / pass1700783843037
user1700783843038 / pass1700783843038
user1700783843039 / pass1700783843039
user1700783843040 / pass1700783843040
user1700783843041 / pass1700783843041
user1700783843042 / pass1700783843042
user1700783843043 / pass1700783843043
user1700783843044 / pass1700783843044
user1700783843045 / pass1700783843045
user1700783843046 / pass1700783843046
user1700783843047 / pass1700783843047
user1700783843048 / pass1700783843048
user1700783843049 / pass1700783843049
